,title,price,link
0,"
Dell Inspiron 3535, AMD Ryzen 5-7530U, 16 GB RAM, 512 GB
                    SSD, FHD IPS 15.6""/39.62 cm, 120Hz, Windows 11, MS Office
                    2024, Platinum Silver, 1.67 kg, Thin & Light
                    Laptop
","38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzAxMDYxMTg2NjIyOToxNzU0NTc4MTk0OnNwX2F0ZjozMDA1NjI4MzA0NTQyMzI6OjA6Og&url=%2FDell-Inspiron-5-7530U-Windows-Platinum%2Fdp%2FB0DSFRQTGB%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2QJUXBH5B3J1V%26dib%3DeyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1754578193%26sprefix%3Dlaptop%252Caps%252C348%26sr%3D8-1-spons%26xpid%3DpSgy7HC4v6kp5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB
1,"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","61,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzAxMDYxMTg2NjIyOToxNzU0NTc4MTk0OnNwX2F0ZjozMDA1MzQ5MzUwNzM0MzI6OjA6Og&url=%2FLenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2QJUXBH5B3J1V%26dib%3DeyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1754578193%26sprefix%3Dlaptop%252Caps%252C348%26sr%3D8-2-spons%26xpid%3DpSgy7HC4v6kp5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB
2,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","36,490",https://amazon.in//HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_6?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-6&xpid=pSgy7HC4v6kp5
3,"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver","12,490",https://amazon.in//Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_7?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-7&xpid=pSgy7HC4v6kp5
4,"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm, FHD, Win 11, MSO 21, Silver, 1.59kg, Intel UHD Graphics, 1080p FHD Camera, 15-fd0006TU/fd0186tu","34,990",https://amazon.in//HP-i3-1315U-Anti-Glare-Micro-Edge-Graphics/dp/B0D2KDCWJL/ref=sr_1_8?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-8&xpid=pSgy7HC4v6kp5
5,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","33,390",https://amazon.in//Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_9?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-9&xpid=pSgy7HC4v6kp5
6,"HP Victus, AMD Ryzen 9-8945HS, 8GB RTX 4060, Upgrade (Upto 32GB) 16GB RAM, 1TB SSD, 144Hz, 300nits, IPS, 15.6""/39.6cm, FHD, Win11, M365* Office 24, Blue, 2.29Kg, Backlit, fb3025AX, AI Gaming Laptop","98,990",https://amazon.in//HP-9-8945HS-Upgrade-300nits-fb3025AX/dp/B0DTJ3PX6T/ref=sr_1_10?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-10&xpid=pSgy7HC4v6kp5
7,"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win 11, Office 24, Silver, 1.59kg, fd0467tu, Iris Xe Graphics, FHD Camera, Backlit KB Laptop","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzAxMDYxMTg2NjIyOToxNzU0NTc4MTk0OnNwX210ZjozMDA2NDgzNDU5NjIxMzI6OjA6Og&url=%2FHP-i5-1334U-Microsoft-Graphics-fd0467tu%2Fdp%2FB0DTK9DZB4%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2QJUXBH5B3J1V%26dib%3DeyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1754578193%26sprefix%3Dlaptop%252Caps%252C348%26sr%3D8-11-spons%26xpid%3DpSgy7HC4v6kp5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&sp_cr=DUB
8,"HP 15, 13th Gen Intel Core i5-13420H (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, fr0028TU, Backlit, FHD Camera w/shutter Laptop","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNzAxMDYxMTg2NjIyOToxNzU0NTc4MTk0OnNwX210ZjozMDA2NDgzNDU5NjIwMzI6OjA6Og&url=%2FHP-i5-13420H-Anti-Glare-Micro-Edge-Office24%2Fdp%2FB0FK2HHZBS%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2QJUXBH5B3J1V%26dib%3DeyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1754578193%26sprefix%3Dlaptop%252Caps%252C348%26sr%3D8-12-spons%26xpid%3DpSgy7HC4v6kp5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&sp_cr=DUB
9,"HP 15, Intel Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, fd1255TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","59,990",https://amazon.in//HP-Office24-fd1255TU-Graphics-Shutter/dp/B0F5B1N9SJ/ref=sr_1_13?crid=2QJUXBH5B3J1V&dib=eyJ2IjoiMSJ9.vTT5ocH1UNCusAvvlNprLkCZVzZvOuXi-EacAXeTGIfbuq4MD-ORkW8wQmmKMfpGm7mII8u58cfKREX8mGa6RHQSYe5brjkcfGG_g-QH4kHoLzpZ8ot3UIju_UI_hU8QZzc0nE0Wj_bDbhHgtoxh_ynt8dkwHlgA5qMz542X2y8Jp3-vbRoV-h1Mh2nbRRvVW0WOu_H4i-0rLGWMgWoGf4OB4KqKhy7lO0hC2skPdXU.HWCZbn4dD4mkOYjQNnlJ4MeletJNUq1dZCn3X5o2YoQ&dib_tag=se&keywords=laptop&qid=1754578193&sprefix=laptop%2Caps%2C348&sr=8-13&xpid=pSgy7HC4v6kp5
